RecipeId,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent
145096,587.0,22.0,8.8,44.1,915.4,72.2,4.5,3.7,23.9
424407,632.1,42.1,14.4,151.5,3821.8,13.0,2.9,8.7,48.9
214109,30.9,2.4,1.5,7.5,39.5,0.9,0.0,0.0,1.4
294265,598.9,29.1,8.7,43.5,541.2,87.8,2.2,68.4,4.6
150749,255.2,8.6,1.1,0.0,450.8,38.0,7.5,2.0,8.0
89937,750.4,34.2,26.5,41.6,508.5,99.9,6.8,71.2,15.8
170159,238.0,11.5,1.8,0.0,556.4,29.5,4.5,9.5,6.2
133349,306.4,0.3,0.0,0.0,5.5,30.9,0.2,25.7,0.4
31529,177.8,1.6,0.3,0.0,19.5,33.4,5.2,2.8,8.1
107832,441.0,9.9,3.3,55.3,1668.0,67.9,1.7,45.1,22.6
14155,1152.0,68.8,20.0,162.2,2133.4,72.5,2.2,6.2,56.5
511338,350.1,23.1,12.3,148.2,324.5,1.8,0.0,1.4,31.9
385950,93.0,2.7,0.4,27.6,452.4,7.1,0.7,0.7,9.7
360765,297.5,10.3,4.1,139.6,533.7,11.2,0.7,1.3,37.8
525063,226.2,9.5,2.5,7.3,140.6,33.6,6.0,7.1,6.3
175248,531.2,28.8,14.1,128.7,464.0,65.2,2.6,51.5,7.0
326908,282.0,14.0,8.0,125.4,253.4,8.0,0.4,0.5,29.5
462989,990.1,50.6,14.3,230.8,958.7,81.3,5.8,71.4,57.9
144665,91.6,5.5,0.7,13.6,95.3,9.6,0.7,6.1,1.5
390834,240.2,9.2,5.1,91.5,578.3,32.5,0.8,6.5,6.7
344703,173.9,9.3,1.3,0.0,537.7,21.9,4.6,3.9,3.2
384,508.8,26.4,15.5,82.1,308.9,62.1,2.1,40.2,7.8
535905,699.5,18.6,2.5,0.0,591.5,111.1,17.6,1.6,20.5
530670,555.5,40.6,8.4,380.5,427.4,28.9,1.2,2.5,18.4
390517,308.5,14.4,7.0,64.5,1561.9,16.1,2.6,7.3,28.9
536038,213.8,5.7,0.9,1.0,325.2,38.7,0.5,21.4,2.2
435214,225.7,8.5,4.3,70.9,210.6,31.8,0.1,28.2,6.2
197024,807.0,59.0,24.4,207.0,1237.8,31.4,3.0,3.1,39.6
514467,176.1,13.5,8.6,44.3,81.5,3.2,0.0,0.5,10.6
19411,424.9,31.0,8.8,142.6,133.2,0.7,0.0,0.0,33.6
331593,176.3,4.6,0.7,54.7,61.4,27.8,3.6,20.8,9.3
306248,171.9,5.3,1.0,55.2,1458.5,2.5,0.6,0.8,27.4
443729,262.7,10.7,1.0,0.0,29.0,35.6,5.0,0.9,8.9
21275,713.3,32.4,17.2,73.2,1747.9,93.8,2.1,3.2,10.8
282905,411.8,25.6,14.8,143.9,258.1,11.1,0.3,2.4,26.0
210885,459.0,10.6,4.5,40.7,1670.8,61.6,3.5,3.2,28.5
188823,136.2,5.3,1.0,5.2,279.9,21.9,2.0,16.5,1.6
58367,287.0,23.5,8.4,88.1,122.4,19.9,4.1,13.2,6.8
269658,397.6,8.1,2.7,147.6,1489.6,30.0,0.4,27.7,49.6
101668,527.5,23.6,9.5,77.4,1298.2,52.0,8.3,10.9,28.4
231179,756.9,60.7,38.0,183.6,1088.3,22.3,0.2,0.5,25.2
266577,444.9,17.9,7.7,49.6,315.9,69.1,1.5,45.2,4.0
234103,208.7,5.7,1.2,2.9,641.0,34.0,1.2,0.5,5.1
454485,172.2,4.1,0.5,1.5,109.5,29.8,3.5,18.1,7.7
105906,193.4,17.2,2.2,0.0,8.4,9.7,4.3,1.9,3.0
220715,469.3,27.0,13.1,53.5,1184.7,37.5,2.0,6.5,19.9
515427,750.5,40.0,13.2,234.3,5974.4,18.7,0.5,12.6,79.3
275738,849.7,40.4,16.3,141.7,1698.5,81.7,7.8,22.9,40.2
475358,919.7,3.2,0.6,0.0,47.5,222.7,7.2,210.5,6.8
503503,555.9,18.2,6.4,55.3,1663.0,82.6,6.9,4.5,16.4
236610,519.9,40.3,5.8,0.0,28.7,32.4,15.9,15.5,19.3
88054,139.2,2.8,0.3,0.0,3.9,29.6,1.9,25.8,2.2
277695,798.7,75.7,33.5,226.8,317.9,32.6,11.1,14.7,18.2
368520,475.7,25.9,11.6,82.9,1045.9,42.1,4.1,0.8,18.4
517841,712.4,0.0,0.0,0.0,4.9,184.8,0.9,180.5,0.2
365658,662.4,24.3,7.7,0.0,365.0,115.5,1.9,27.8,6.1
427168,181.0,0.7,0.2,0.0,195.4,38.0,0.7,0.4,4.6
176805,192.1,9.3,5.3,112.4,591.4,9.5,0.3,1.3,17.0
468642,524.4,23.5,13.2,197.6,399.6,72.9,2.1,54.5,8.6
114433,603.6,23.5,13.7,101.3,170.6,92.3,4.4,57.2,8.8
90924,344.7,20.8,3.8,47.8,1625.4,22.6,2.9,8.1,16.2
81027,519.4,26.4,13.6,85.0,1610.7,43.3,2.8,1.0,26.1
434678,380.3,8.2,4.2,18.9,266.2,71.8,1.8,52.8,5.7
276291,179.4,0.3,0.0,0.0,1.4,45.5,1.9,41.0,1.1
160081,79.1,4.8,3.0,13.2,128.4,6.9,0.3,0.2,2.2
8116,319.7,17.5,10.4,95.0,366.1,33.4,1.1,14.0,7.9
428071,300.8,13.3,8.0,33.6,397.9,41.1,1.6,9.1,4.6
266838,115.5,5.6,2.2,13.6,84.0,15.0,1.1,9.9,2.5
352345,230.2,6.9,0.6,0.0,417.0,42.2,1.6,28.2,1.7
314934,141.3,7.8,1.2,0.0,401.3,15.8,2.5,4.3,3.3
478062,307.5,11.6,3.2,0.0,146.8,49.3,4.4,30.0,5.8
185656,521.3,9.5,1.4,0.0,1527.7,97.7,3.6,4.6,20.1
119295,587.0,26.9,9.5,53.7,553.1,84.6,2.0,67.8,5.0
540568,153.9,4.8,0.7,143.2,653.6,11.4,1.2,0.8,17.1
384946,641.0,45.4,12.7,218.5,208.4,2.6,0.6,0.5,52.5
165813,450.8,18.6,5.6,18.8,353.5,64.2,2.7,41.2,8.6
123344,346.5,8.1,2.9,16.6,548.3,48.7,9.6,17.9,14.4
352187,89.7,6.2,1.6,2.6,62.2,6.5,0.7,5.1,3.5
63025,98.5,4.5,2.6,13.9,44.8,14.2,0.8,8.3,1.5
473209,415.2,14.2,2.7,46.4,2484.7,44.9,3.4,5.2,29.1
403272,384.3,22.5,7.8,79.9,1313.4,26.1,2.1,3.9,18.6
489266,458.8,20.1,5.5,59.1,686.4,54.1,14.2,5.4,19.8
54637,452.2,11.4,6.4,194.8,318.9,49.0,2.5,3.7,37.1
235509,5.9,0.2,0.0,0.0,4.1,1.1,0.4,0.3,0.2
124096,482.4,16.4,7.9,31.7,48.6,84.9,3.3,57.1,6.3
150501,555.1,21.3,8.8,113.0,1326.7,54.4,7.0,4.0,36.6
412391,406.2,19.7,5.3,80.1,427.1,26.7,5.4,16.2,31.3
348965,63.1,2.2,0.3,0.0,277.4,9.6,2.0,2.5,3.0
308784,547.2,34.9,10.3,46.9,1122.4,43.3,2.3,3.2,14.9
371199,215.6,3.7,0.8,70.5,105.7,44.2,4.5,5.8,7.8
141027,67.4,5.6,2.5,22.9,203.7,0.8,0.1,0.5,3.5
431466,398.6,23.3,10.2,40.2,1030.5,31.7,1.6,3.3,15.3
315905,464.2,13.8,5.2,62.1,2503.6,70.5,7.8,9.8,14.7
497768,372.4,22.1,8.3,64.1,161.4,40.4,3.1,27.1,5.7
69659,132.3,5.4,0.8,0.0,136.2,20.1,3.7,8.7,3.8
300774,210.0,11.0,5.7,25.5,494.5,18.6,0.6,1.3,9.1
462666,667.4,21.3,6.5,50.3,612.4,85.4,29.8,11.8,36.5
339514,621.5,34.4,8.6,196.2,457.6,16.6,1.9,1.8,58.6
153579,178.2,8.6,2.2,240.8,341.4,2.9,0.5,1.6,22.0
253913,262.3,9.7,1.8,72.6,300.6,19.0,0.3,16.1,24.7
509179,182.6,7.4,1.0,0.0,86.4,24.3,4.7,0.8,9.1
139549,299.7,18.4,10.3,76.2,190.6,31.4,1.8,21.0,4.0
414174,208.5,10.8,4.0,12.2,139.2,26.8,2.2,14.0,4.3
422673,57.5,3.2,1.0,3.2,74.8,5.1,2.5,1.6,4.0
295997,326.4,23.6,4.5,0.0,292.9,26.6,1.4,13.8,7.1
293211,115.7,0.1,0.0,0.0,6.9,30.0,0.2,29.0,0.1
408337,1465.0,116.6,15.2,72.6,573.4,49.4,3.6,2.1,55.4
275782,68.7,3.8,2.4,4.1,28.1,8.7,0.1,7.1,0.4
382090,289.8,11.8,3.1,31.5,243.3,43.4,1.1,24.2,3.5
340722,379.7,24.2,12.9,60.4,721.5,29.0,4.3,7.2,12.8
333340,678.1,19.2,3.0,0.0,469.0,128.5,3.6,108.2,3.2
417673,129.4,4.8,0.7,0.0,309.2,16.7,4.6,1.2,5.9
92458,334.0,7.4,1.3,0.0,7013.7,71.0,24.5,17.9,15.2
306424,1311.4,16.4,8.4,49.2,270.3,280.7,1.2,23.0,17.8
515878,312.5,7.5,4.5,27.3,216.9,52.8,1.9,8.6,9.5
460896,479.5,30.4,6.9,124.7,135.2,1.8,0.2,0.1,46.7
468972,350.2,17.8,6.2,132.0,658.8,13.9,2.5,8.3,31.8
334349,96.5,5.3,3.3,21.1,38.4,11.3,0.3,10.2,1.7
18345,183.9,5.4,0.6,0.0,150.6,33.9,1.5,24.6,1.6
316875,1015.6,52.6,17.4,77.2,2332.5,116.9,16.4,67.5,32.2
400154,28.2,1.8,0.6,62.7,26.2,0.7,0.2,0.1,2.3
294853,1029.1,100.5,38.5,126.0,64.0,16.9,3.1,11.1,19.1
329645,428.7,28.8,10.9,46.9,356.9,40.4,0.4,30.7,3.6
77249,61.3,4.5,1.1,107.4,115.9,1.8,0.0,0.7,3.2
436046,119.5,5.5,1.4,17.6,483.5,10.2,1.8,2.1,7.3
114098,472.9,13.3,3.0,7.3,198.6,76.7,5.8,7.6,19.6
123455,124.3,9.7,6.0,43.0,110.3,9.7,0.8,8.4,0.7
231627,538.2,44.7,26.1,113.3,1054.8,21.2,3.0,6.2,16.2
165509,141.4,9.0,5.5,22.9,1770.3,13.5,2.0,7.2,1.8
369650,1045.3,52.5,15.0,245.1,1837.2,79.7,7.6,3.5,60.5
428428,300.0,15.0,6.6,163.3,702.9,14.5,2.0,0.9,27.8
531705,258.6,19.4,7.7,78.2,64.6,0.0,0.0,0.0,19.7
131049,294.5,12.3,5.4,4.3,449.8,44.5,0.8,32.2,3.0
390786,2888.8,85.0,15.2,211.5,3628.9,508.8,32.0,278.1,47.6
412154,133.9,3.7,3.4,1.8,69.2,22.1,0.9,20.6,3.9
161699,71.6,5.2,2.9,18.8,37.8,3.9,0.2,3.3,2.8
131354,308.7,18.8,6.2,95.6,499.5,28.2,1.9,5.8,7.7
332219,223.7,7.3,1.1,0.0,10.8,41.9,4.6,21.8,2.5
255941,62.2,0.0,0.0,0.0,629.4,15.9,0.0,15.7,0.0
482132,205.8,14.2,8.3,121.0,288.3,3.6,0.0,1.3,15.6
84112,257.9,12.6,4.9,79.5,680.7,7.8,0.5,2.5,27.5
461402,329.4,6.0,0.9,0.6,40.6,57.9,5.3,11.3,11.8
299127,34.8,0.0,0.0,0.0,0.5,1.4,0.6,0.0,0.2
166131,327.6,7.4,1.4,93.0,237.6,47.8,11.2,4.5,19.1
25813,809.2,40.7,24.8,202.4,416.3,102.1,1.9,55.8,10.2
62820,86.6,0.7,0.1,0.0,388.4,18.1,4.5,3.0,4.1
450484,2476.6,151.9,35.0,378.1,3417.3,230.4,15.9,20.6,52.5
433501,254.0,11.9,6.3,56.1,798.1,16.4,1.5,7.0,20.4
457662,108.9,4.9,1.6,0.7,50.9,15.6,0.3,9.8,1.1
493699,147.0,5.5,0.7,0.0,314.4,21.1,4.0,3.0,4.2
185961,413.8,13.4,5.3,24.2,12475.1,45.7,5.6,16.9,26.6
317046,639.3,12.3,7.5,4.3,86.8,117.1,7.6,4.1,15.3
494520,85.3,6.1,3.4,38.0,109.4,2.6,0.0,0.0,5.0
423598,206.7,0.3,0.1,0.0,2.8,20.5,1.9,17.9,0.6
98679,142.8,4.7,2.1,62.1,436.5,17.3,3.3,2.9,8.4
122898,43.5,0.1,0.0,0.0,50.4,5.0,1.0,4.0,0.8
259449,263.5,17.3,7.5,62.0,730.5,17.5,2.4,10.6,11.0
235375,156.6,10.7,6.6,51.6,217.7,10.4,0.3,0.1,4.5
133787,309.2,4.9,2.8,15.5,714.6,55.0,1.7,6.3,10.7
477105,314.1,23.6,12.5,60.5,1203.7,17.1,4.7,7.6,12.1
130985,82.6,0.6,0.1,0.0,79.4,19.8,3.1,15.3,1.9
386206,86.3,5.0,1.6,211.5,70.7,2.6,1.0,1.2,6.4
221757,486.7,35.2,21.2,210.1,178.2,3.6,0.0,0.3,38.1
29044,487.8,29.0,8.3,87.0,1100.8,12.1,1.4,2.4,44.4
227493,360.0,26.4,8.6,76.1,655.8,3.1,0.0,0.0,25.7
264263,4018.8,182.2,26.5,634.5,5450.3,552.4,13.4,306.1,54.4
8000,211.7,20.8,11.9,62.5,255.7,3.9,0.3,3.1,3.3
132858,373.6,19.6,8.6,43.8,270.9,35.2,5.5,8.3,16.7
424484,322.8,13.0,7.4,91.6,278.7,45.4,1.1,15.7,6.5
319125,95.5,4.3,1.2,0.3,20.9,13.8,1.3,8.5,2.2
65460,105.0,0.4,0.1,0.0,1.2,26.9,3.1,14.4,1.3
7120,270.5,4.6,0.6,0.0,236.8,55.5,1.3,38.3,3.5
109221,595.3,29.7,18.3,130.7,398.7,79.8,0.7,63.5,5.2
517625,350.8,5.0,0.8,121.3,1536.8,52.5,1.8,1.9,21.9
516115,151.8,9.9,2.9,170.2,98.4,0.2,0.0,0.1,14.3
540567,517.6,18.4,7.4,34.6,384.4,79.2,1.5,56.3,11.4
503107,178.2,8.7,3.7,25.9,98.2,25.2,0.4,24.3,1.0
277446,569.0,16.8,6.4,90.0,1308.6,69.3,12.7,6.5,38.4
201488,153.5,11.3,4.4,23.6,622.8,5.2,1.6,0.8,9.3
322983,786.0,40.6,18.4,143.8,1276.8,61.8,8.2,6.9,46.2
295325,515.9,21.5,7.8,194.9,918.1,9.6,0.4,6.7,64.7
148447,184.3,8.3,5.0,35.8,150.7,25.8,0.4,14.7,2.1
313701,285.7,9.8,2.5,67.4,628.9,27.1,3.1,5.1,22.9
491700,421.8,11.9,6.7,38.7,742.2,52.5,3.1,8.1,25.1
49030,638.2,39.4,14.3,321.9,1250.3,44.2,4.0,2.6,26.0
173742,223.7,6.9,1.0,0.0,1757.0,37.2,4.7,1.7,4.3
528097,55.9,4.2,2.8,55.8,142.9,2.8,0.0,2.5,1.9
471322,207.5,7.6,0.9,0.0,221.7,31.7,5.7,6.6,5.7
405759,1213.0,69.4,19.4,97.0,2081.9,107.2,15.2,6.4,42.9
519170,421.7,21.6,12.9,203.1,475.2,14.7,4.8,4.1,43.9
121064,171.8,2.6,0.3,0.0,160.7,30.8,3.7,1.5,6.4
32696,661.9,23.4,6.0,183.9,549.7,38.8,9.5,2.2,71.3
527173,650.2,38.2,5.6,125.9,81.1,44.0,19.3,3.8,34.1
413843,323.0,14.3,4.9,73.7,424.8,24.5,4.2,16.3,25.7
136324,1142.7,70.4,19.1,16.4,2539.9,108.9,6.7,7.2,19.1
31341,232.3,10.1,4.0,91.8,204.3,33.2,1.9,24.5,3.7
59989,264.2,12.2,5.7,56.6,921.0,23.0,0.9,7.4,16.1
188212,532.5,39.6,12.8,79.5,801.5,9.6,1.5,3.9,34.7
93733,78.1,0.2,0.1,0.0,300.0,19.1,0.8,15.8,1.0
78601,161.4,4.2,0.9,79.5,175.0,24.2,1.8,1.5,6.4
192403,290.7,18.1,7.0,108.1,339.0,8.0,0.6,4.7,22.9
97134,428.2,29.7,18.5,147.3,1544.8,18.7,5.0,9.2,19.4
250854,603.1,41.3,16.4,108.2,898.9,42.7,2.4,6.3,15.9
487009,247.2,21.1,6.5,26.8,507.8,11.0,2.9,5.4,6.0
16723,308.9,13.4,4.6,53.7,1649.3,27.1,2.9,3.1,20.6
438949,575.5,6.3,3.1,13.2,806.4,111.8,36.3,1.1,33.5
163561,70.6,3.4,0.4,0.0,197.9,10.3,2.3,7.3,1.4
17018,58.5,4.0,1.0,14.2,319.8,1.1,0.1,0.4,3.7
45796,781.9,18.8,13.6,36.1,666.3,139.6,2.7,128.2,15.8
355210,408.5,28.9,16.7,93.9,965.4,13.8,1.9,5.2,24.1
306079,17.5,0.0,0.0,0.0,503.2,1.4,0.1,0.3,1.1
381111,430.6,36.1,22.3,135.6,189.9,24.6,2.4,17.1,8.0
15643,468.1,23.1,12.7,272.6,1539.1,17.9,0.5,2.6,42.3
176492,1659.6,98.3,60.1,410.0,1984.9,167.6,5.9,0.8,26.0
486305,384.9,1.8,0.2,0.0,5.6,96.3,6.3,81.0,1.0
27948,1546.5,116.2,72.2,415.6,193.7,121.3,1.4,100.5,13.1
261744,834.0,58.9,23.3,138.8,418.1,39.7,12.7,6.2,38.9
272452,317.4,18.0,5.5,67.7,658.2,34.1,2.2,5.1,8.6
219410,669.9,64.3,9.1,0.0,122.7,27.1,15.9,2.6,6.0
522273,574.0,18.6,5.5,105.8,858.0,52.2,1.4,1.2,45.7
511740,215.4,10.1,1.3,0.0,320.3,31.5,5.7,23.9,3.1
249225,466.9,24.4,11.3,208.2,1300.6,38.6,0.1,0.6,22.8
289737,110.0,0.1,0.0,0.0,5.7,27.4,0.2,26.9,0.8
206189,186.5,7.4,1.2,27.6,358.9,4.5,1.8,2.1,24.7
185532,491.2,18.3,5.7,15.7,207.2,80.2,1.9,56.4,4.0
514389,840.2,50.8,24.7,136.8,410.7,79.3,4.0,69.0,20.4
403582,936.7,71.6,27.0,235.9,1518.8,17.1,1.4,12.9,52.8
53747,251.1,19.1,9.7,347.8,629.7,9.3,1.5,2.2,10.9
259420,135.9,0.3,0.0,0.0,124.0,34.7,1.4,24.8,0.7
341997,363.2,18.9,5.8,56.8,708.9,33.0,2.9,4.7,15.6
83207,476.5,30.5,7.9,51.4,1236.3,37.4,4.3,2.9,13.6
294559,653.5,19.9,16.6,0.0,648.6,114.4,3.3,73.8,9.8
48852,252.7,14.7,4.2,124.1,428.3,2.0,0.0,1.2,26.2
263324,122.8,4.3,1.4,4.7,204.3,17.0,1.5,1.3,4.3
372069,35.3,1.0,0.6,3.9,18.3,3.9,0.0,3.9,2.9
468880,470.4,21.8,9.1,118.0,640.2,27.1,1.9,5.3,39.1
36726,431.5,20.1,2.8,143.2,656.4,39.6,3.5,5.1,22.4
85660,272.1,15.3,6.1,25.6,352.7,30.3,4.8,2.9,8.2
39875,613.6,48.7,28.9,396.8,69.0,39.0,0.0,33.4,7.2
124734,148.6,7.3,3.0,16.5,341.7,17.6,0.8,15.0,3.8
514890,583.6,28.4,7.5,132.3,948.5,48.1,2.6,5.6,32.0
53752,113.5,0.7,0.4,0.0,2.5,29.3,1.9,26.4,1.1
266925,121.0,0.3,0.0,0.0,12.5,31.6,3.3,25.4,0.4
469639,499.2,24.2,3.4,0.0,521.5,61.6,5.3,10.7,10.3
399699,502.2,31.5,14.2,96.1,340.3,50.4,1.7,25.6,5.8
224011,514.6,28.6,17.2,161.7,369.1,60.1,0.8,24.9,6.6
130591,1335.3,61.0,27.0,97.6,2936.6,174.1,11.2,10.8,31.8
323470,249.7,1.3,0.2,0.0,14.1,51.2,3.6,2.2,8.8
373486,498.8,16.4,3.9,51.8,213.3,66.5,9.2,1.9,27.1
416153,3942.8,315.9,189.7,2270.2,483.3,262.6,8.3,153.0,38.8
115814,398.9,15.8,6.0,68.3,1192.9,39.7,9.6,6.8,26.6
131682,714.4,52.1,16.0,47.6,740.0,44.0,1.6,0.4,17.5
422614,124.5,9.1,3.4,15.9,255.1,6.2,2.2,1.8,6.2
97747,618.3,36.2,15.6,146.4,408.0,69.5,2.7,48.6,8.0
104379,355.2,14.8,8.4,112.0,269.7,52.8,1.3,40.4,5.1
337068,516.0,27.9,15.0,98.4,292.8,62.7,1.7,41.7,6.1
4600,401.3,11.8,3.0,23.2,230.0,70.6,0.9,36.8,4.3
194371,240.2,13.7,6.3,91.3,84.7,0.3,0.0,0.0,27.8
16520,450.2,12.4,3.6,4.0,901.2,71.9,4.3,2.7,11.6
508780,237.8,14.3,6.7,48.1,483.9,14.7,0.4,3.2,12.4
400276,210.6,5.1,3.0,12.8,426.9,36.2,2.7,5.3,5.7
342562,504.9,35.4,5.0,86.0,115.7,9.8,3.3,4.5,37.5
430832,368.1,8.2,2.0,35.5,1016.4,51.2,4.4,5.0,22.6
187090,105.2,2.7,0.7,79.3,120.0,16.6,1.5,8.8,4.1
64652,258.7,12.7,3.0,12.2,56.2,30.5,1.9,18.2,7.5
16584,1511.6,90.8,22.7,349.6,5698.6,78.5,1.0,72.4,93.7
456256,230.3,5.6,2.3,7.6,308.3,39.8,4.8,13.1,6.7
67699,218.1,7.9,2.6,65.0,47.9,10.8,3.7,0.3,25.4
308862,278.4,10.6,6.5,42.2,78.1,27.2,0.7,24.9,3.4
38819,122.3,6.4,3.0,12.1,79.3,15.5,0.8,10.3,2.1
523675,183.1,12.5,6.6,46.5,146.9,15.9,0.3,8.8,2.4
181708,51.3,5.8,3.6,15.3,341.4,0.1,0.0,0.0,0.1
291213,515.6,31.4,13.8,63.4,3599.4,36.9,10.6,7.4,27.1
447662,139.8,0.1,0.0,0.0,87.6,35.0,0.8,26.6,1.2
447374,202.7,12.7,1.0,0.0,71.8,19.0,6.5,7.3,6.9
452448,9.1,0.0,0.0,0.0,1748.6,2.1,0.4,0.9,0.3
407663,78.6,0.3,0.1,0.0,5.2,19.8,2.8,14.5,0.9
319956,172.0,13.9,1.9,0.0,381.2,12.2,3.6,5.8,1.3
303476,1100.6,0.0,0.0,0.0,22.1,284.6,0.4,283.1,0.1
154638,803.3,43.5,14.5,222.1,2640.4,54.8,9.9,10.6,48.5
314323,266.4,14.4,4.4,157.3,1039.3,14.5,0.8,2.3,20.1
411019,363.7,4.7,0.7,0.0,1011.8,66.1,3.2,2.1,13.3
21207,1592.2,35.6,22.3,96.3,414.9,333.2,0.0,252.9,1.5
98076,174.2,5.5,3.3,21.1,43.4,30.6,0.5,28.2,1.8
393439,260.6,9.2,1.3,87.5,380.9,7.9,1.8,0.8,35.9
537964,235.4,10.3,3.6,198.5,255.4,23.2,3.0,2.2,12.4
137715,560.7,27.3,7.6,176.2,699.2,20.9,0.6,18.1,56.0
155754,516.6,19.7,3.2,166.7,336.9,43.7,3.5,2.0,39.9
96540,145.2,10.4,0.8,0.0,0.3,12.8,2.0,9.9,2.8
520360,133.9,5.8,2.2,13.2,186.7,17.5,1.1,14.9,4.0
304269,623.0,39.1,16.8,55.1,460.5,53.2,4.2,7.3,16.0
376423,357.3,19.6,7.4,26.9,529.9,37.0,6.2,1.8,11.1
234632,60.3,3.1,1.6,11.1,141.3,4.5,0.3,0.2,3.6
482890,208.0,9.8,1.5,0.0,799.0,22.8,7.4,3.5,8.6
355810,747.9,37.5,22.4,175.1,1576.4,65.9,2.9,9.2,35.7
477558,977.5,48.9,20.0,92.4,687.4,130.9,7.2,114.3,15.4
368892,185.4,4.9,1.0,56.8,366.4,9.4,2.6,0.6,26.5
387290,688.3,49.9,29.5,208.0,418.8,52.9,1.3,32.7,13.2
429359,703.5,38.8,12.1,30.5,996.7,84.3,4.5,37.8,7.1
49191,330.5,18.1,5.6,59.2,239.2,40.1,0.6,28.9,3.1
154832,235.3,10.3,5.8,72.0,819.0,27.9,1.8,6.6,8.4
383601,294.1,10.0,5.9,24.1,696.0,38.9,3.2,6.3,13.2
497451,550.4,24.5,23.0,0.1,589.2,82.7,0.6,76.6,2.6
187085,777.1,39.1,14.3,217.7,2208.1,40.6,3.5,28.8,65.9
241997,308.9,12.5,2.0,68.4,406.6,19.2,3.5,10.5,30.1
232015,213.8,16.0,9.9,17.1,67.4,18.5,3.6,6.5,7.0
107842,860.1,18.5,11.6,56.1,121.6,181.9,0.0,117.6,1.4
494454,63.3,0.2,0.1,0.0,2894.9,10.7,1.4,1.9,4.0
453171,138.0,7.6,1.0,0.0,455.4,14.6,3.1,0.1,4.0
256403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162445,1157.5,76.4,39.3,253.0,1133.3,76.7,12.0,16.8,45.0
218281,185.0,2.2,1.3,5.1,25.6,39.9,5.7,1.1,2.4
69947,506.0,22.1,11.3,89.8,454.4,73.6,0.9,61.7,4.5
512545,427.7,15.3,4.5,372.0,1948.1,52.1,5.8,8.7,21.9
527973,124.9,3.0,0.5,0.0,19.5,16.7,4.8,9.2,3.5
484102,224.9,10.1,5.3,37.5,157.4,33.4,0.9,24.8,2.3
